run,mode,render_file,render_path,gt_path,render_mean,render_std,psnr,ssim_global
R1,train_conditioned,00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00000.png,0.43276724219322205,0.2878497838973999,16.849718119743347,0.8643498420715332
R1,train_conditioned,00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00001.png,0.4606519937515259,0.29674577713012695,16.89950997749165,0.8765163421630859
R1,train_conditioned,00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00002.png,0.463529109954834,0.2750246524810791,16.619025881542797,0.8480520248413086
R1,train_conditioned,00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00003.png,0.4661139249801636,0.27049148082733154,16.244498617867173,0.8298659920692444
R1,train_conditioned,00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00004.png,0.4597371816635132,0.2591949701309204,16.41258130280647,0.8193228840827942
R1,train_conditioned,00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00005.png,0.4460618793964386,0.25804004073143005,16.172088469849825,0.8063560128211975
R1,train_conditioned,00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00006.png,0.45421215891838074,0.25866973400115967,16.757220396215416,0.8255710005760193
R1,train_conditioned,00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00007.png,0.42253217101097107,0.2790472209453583,15.751870450519764,0.803139865398407
R1,train_conditioned,00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00008.png,0.44187337160110474,0.2861715257167816,15.927927930902353,0.8256388306617737
R1,train_conditioned,00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00009.png,0.46841657161712646,0.27320224046707153,17.56162716463464,0.8745973706245422
R1,train_conditioned,00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00010.png,0.45886051654815674,0.2664715051651001,17.8558657916042,0.8797460198402405
R1,train_conditioned,00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00011.png,0.45568785071372986,0.2803858518600464,16.256044735964032,0.8398914933204651
R1,train_conditioned,00012.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00012.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00012.png,0.4491805136203766,0.2837127149105072,16.55172698183461,0.8597626686096191
R1,train_intrinsic,00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00000.png,0.42397400736808777,0.2758565843105316,16.64149326062846,0.8517796993255615
R1,train_intrinsic,00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00001.png,0.4513522684574127,0.28732985258102417,16.651231003548666,0.8648247718811035
R1,train_intrinsic,00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00002.png,0.4576212167739868,0.27004000544548035,16.275437606915478,0.8314919471740723
R1,train_intrinsic,00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00003.png,0.4609200358390808,0.2633252441883087,16.190479963080435,0.8214943408966064
R1,train_intrinsic,00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00004.png,0.45006951689720154,0.2528938055038452,16.189080085193236,0.8019137382507324
R1,train_intrinsic,00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00005.png,0.4359356760978699,0.2524355351924896,15.749808130073713,0.7792837023735046
R1,train_intrinsic,00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00006.png,0.4455884099006653,0.2480030655860901,16.73873648230704,0.8156847953796387
R1,train_intrinsic,00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00007.png,0.4106578826904297,0.27075475454330444,15.514666031682744,0.7862126231193542
R1,train_intrinsic,00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00008.png,0.4298964738845825,0.27597761154174805,15.891956243995995,0.8167300820350647
R1,train_intrinsic,00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00009.png,0.4543107748031616,0.26929664611816406,17.661555055366673,0.8739258646965027
R1,train_intrinsic,00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00010.png,0.44803375005722046,0.25944647192955017,17.645932250805515,0.8690798878669739
R1,train_intrinsic,00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00011.png,0.4380982220172882,0.27175191044807434,16.201017234474087,0.8317830562591553
R1,train_intrinsic,00012.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000\renders_intrinsic\00012.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00012.png,0.42932701110839844,0.27519747614860535,15.868291420834932,0.8331517577171326
R2,train_conditioned,00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00000.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00000.png,0.4208522439002991,0.27917006611824036,17.918675578014216,0.8910930752754211
R2,train_conditioned,00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00001.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00001.png,0.446576863527298,0.2906460464000702,17.406608541876146,0.8879201412200928
R2,train_conditioned,00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00002.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00002.png,0.45077407360076904,0.26882079243659973,16.831384290433753,0.8503217697143555
R2,train_conditioned,00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00003.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00003.png,0.4556097984313965,0.2603760063648224,16.660672654143948,0.836718738079071
R2,train_conditioned,00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00004.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00004.png,0.4534406065940857,0.25710445642471313,16.26217840891156,0.8091573715209961
R2,train_conditioned,00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00005.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00005.png,0.44346314668655396,0.2547416388988495,15.726983169513622,0.7813746333122253
R2,train_conditioned,00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00006.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00006.png,0.4631028473377228,0.24901050329208374,16.37746321168428,0.8021162152290344
R2,train_conditioned,00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00007.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00007.png,0.43409520387649536,0.26482510566711426,16.294956410972368,0.8154327273368835
R2,train_conditioned,00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00008.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00008.png,0.43639758229255676,0.2790873348712921,16.29251748463018,0.834301769733429
R2,train_conditioned,00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00009.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00009.png,0.45066896080970764,0.27484214305877686,17.747548274490857,0.8793936371803284
R2,train_conditioned,00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00010.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00010.png,0.4402897357940674,0.26491066813468933,18.58676849823563,0.897472083568573
R2,train_conditioned,00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\renders\00011.png,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\train\ours_30000_train_conditioned\gt\00011.png,0.4433032274246216,0.2680189907550812,18.136822430220107,0.8912613987922668
